CDS;ERR2036629;ERR2036630;ERR2036631;ERR2036632;ERR2036633
CMHJGECF_00001;0;0;0;0;0
CMHJGECF_00002;0;0;0;2;0
CMHJGECF_00003;0;0;0;0;0
CMHJGECF_00004;0;0;0;0;0
CMHJGECF_00005;0;0;0;0;0
CMHJGECF_00006;0;0;0;0;0
CMHJGECF_00007;0;0;0;0;0
CMHJGECF_00008;0;2;25;9;0
CMHJGECF_00009;0;0;0;0;0
CMHJGECF_00010;0;0;0;0;0
CMHJGECF_00011;0;0;0;0;0
CMHJGECF_00012;0;0;0;0;0
CMHJGECF_00013;6;10;92;49;21
CMHJGECF_00014;0;0;0;0;0
CMHJGECF_00015;0;0;0;0;0
CMHJGECF_00016;0;0;0;0;0
CMHJGECF_00017;0;0;0;0;0
CMHJGECF_00018;0;0;0;0;0
CMHJGECF_00019;0;0;0;0;0
CMHJGECF_00020;81;66;808;625;86
CMHJGECF_00021;85;72;823;686;79
CMHJGECF_00022;118;132;1417;1519;117
CMHJGECF_00023;137;85;1431;1147;114
CMHJGECF_00024;365;222;3239;2120;269
CMHJGECF_00025;816;427;6985;5040;704
CMHJGECF_00026;154;81;1438;1274;119
CMHJGECF_00027;30;40;423;455;27
CMHJGECF_00028;17;18;132;208;23
CMHJGECF_00029;16;5;59;42;17
CMHJGECF_00030;59;31;500;365;48
CMHJGECF_00031;901;417;4307;3751;649
CMHJGECF_00032;321;110;2825;2495;142
CMHJGECF_00033;2042;1162;21413;28098;1095
CMHJGECF_00034;99;88;1003;1051;154
CMHJGECF_00035;153;121;805;747;138
CMHJGECF_00036;232;155;995;703;156
CMHJGECF_00038;259;163;1547;1477;210
CMHJGECF_00039;105;61;796;769;88
CMHJGECF_00040;3;1;155;185;6
CMHJGECF_00041;200;176;824;1348;200
CMHJGECF_00042;1140;735;4598;5048;1089
CMHJGECF_00043;404;314;1493;2087;367
CMHJGECF_00044;1015;605;3844;3953;861
CMHJGECF_00045;375;235;1093;1496;315
CMHJGECF_00046;552;350;1203;1533;429
CMHJGECF_00047;46;40;151;170;31
CMHJGECF_00048;479;298;1687;1708;499
CMHJGECF_00049;179;142;675;630;157
CMHJGECF_00050;152;121;917;1008;147
CMHJGECF_00051;68;63;405;494;73
CMHJGECF_00052;44;44;404;433;47
CMHJGECF_00053;32;41;205;215;44
CMHJGECF_00054;171;124;1392;1297;162
CMHJGECF_00055;146;96;691;783;124
CMHJGECF_00056;368;370;2630;2986;381
CMHJGECF_00057;960;719;6466;6739;914
CMHJGECF_00058;914;634;8082;7232;946
CMHJGECF_00059;438;362;3316;3446;408
CMHJGECF_00060;1235;1391;10473;13378;1488
CMHJGECF_00061;278;280;2816;1880;348
CMHJGECF_00062;120;115;1996;2688;116
CMHJGECF_00064;28;21;237;352;35
CMHJGECF_00065;131;100;683;648;76
CMHJGECF_00066;480;299;2934;2407;421
CMHJGECF_00067;152;130;1385;1211;116
CMHJGECF_00068;233;137;1723;1516;196
CMHJGECF_00069;286;248;2102;2151;280
CMHJGECF_00070;216;184;1892;1955;186
CMHJGECF_00071;115;94;922;670;106
CMHJGECF_00072;51;29;405;341;51
CMHJGECF_00073;60;58;552;580;74
CMHJGECF_00074;73;45;476;412;68
CMHJGECF_00075;86;66;616;381;61
CMHJGECF_00076;877;611;10126;11147;729
CMHJGECF_00077;91;61;660;477;53
CMHJGECF_00078;151;116;1125;737;159
CMHJGECF_00079;87;79;1339;923;53
CMHJGECF_00080;208;156;2880;2521;181
CMHJGECF_00081;549;367;4445;4016;507
CMHJGECF_00082;50;47;569;605;37
CMHJGECF_00083;0;0;8;24;1
CMHJGECF_00084;250;182;1796;1792;211
CMHJGECF_00085;23;35;380;342;19
CMHJGECF_00086;503;245;3005;1899;254
CMHJGECF_00087;81;74;974;723;55
CMHJGECF_00088;118;81;926;775;93
CMHJGECF_00089;76;55;854;733;57
CMHJGECF_00090;105;82;529;528;70
CMHJGECF_00091;60;39;424;475;44
CMHJGECF_00092;22;15;417;440;28
CMHJGECF_00093;67;57;513;379;64
CMHJGECF_00094;68;60;997;1156;79
CMHJGECF_00095;0;0;0;0;0
CMHJGECF_00096;29;13;142;151;23
CMHJGECF_00097;160;128;1119;1076;142
CMHJGECF_00098;39;38;399;339;36
CMHJGECF_00099;208;118;1713;1678;190
CMHJGECF_00101;1895;1768;15734;16443;2050
CMHJGECF_00102;1080;576;6385;5046;816
CMHJGECF_00103;88;74;824;750;71
CMHJGECF_00104;83;59;734;606;85
CMHJGECF_00105;256;144;1545;1506;172
CMHJGECF_00106;541;267;2957;2461;340
CMHJGECF_00107;1043;579;7125;7762;788
CMHJGECF_00108;414;324;4846;5518;389
CMHJGECF_00109;466;385;4458;6119;489
CMHJGECF_00110;3268;2485;46403;49008;3181
CMHJGECF_00111;790;612;12258;13709;786
CMHJGECF_00112;175;175;2896;4015;189
CMHJGECF_00113;501;389;5519;5831;516
CMHJGECF_00114;648;443;5134;4546;584
CMHJGECF_00115;502;280;2793;2342;385
CMHJGECF_00116;419;276;3106;2683;369
CMHJGECF_00117;364;316;3059;3181;318
