CDS;Category
CMHJGECF_00001;NA
CMHJGECF_00002;NA
CMHJGECF_00003;NA
CMHJGECF_00004;NA
CMHJGECF_00005;NA
CMHJGECF_00006;NA
CMHJGECF_00007;NA
CMHJGECF_00008;NA
CMHJGECF_00009;NA
CMHJGECF_00010;NA
CMHJGECF_00011;NA
CMHJGECF_00012;NA
CMHJGECF_00013;NA
CMHJGECF_00014;NA
CMHJGECF_00015;NA
CMHJGECF_00016;NA
CMHJGECF_00017;NA
CMHJGECF_00018;NA
CMHJGECF_00019;NA
CMHJGECF_00020;NA
CMHJGECF_00021;NA
CMHJGECF_00022;NA
CMHJGECF_00023;NA
CMHJGECF_00024;NA
CMHJGECF_00025;NA
CMHJGECF_00026;NA
CMHJGECF_00027;NA
CMHJGECF_00028;Polysaccharide
CMHJGECF_00029;Polysaccharide
CMHJGECF_00030;NA
CMHJGECF_00031;NA
CMHJGECF_00032;NA
CMHJGECF_00033;NA
CMHJGECF_00034;NA
CMHJGECF_00035;NA
CMHJGECF_00036;NA
CMHJGECF_00038;NA
CMHJGECF_00039;NA
CMHJGECF_00040;NA
CMHJGECF_00041;ATP synthase
CMHJGECF_00042;ATP synthase
CMHJGECF_00043;ATP synthase
CMHJGECF_00044;ATP synthase
CMHJGECF_00045;ATP synthase
CMHJGECF_00046;ATP synthase
CMHJGECF_00047;ATP synthase
CMHJGECF_00048;ATP synthase
CMHJGECF_00049;NA
CMHJGECF_00050;NA
CMHJGECF_00051;NA
CMHJGECF_00052;NA
CMHJGECF_00053;NA
CMHJGECF_00054;NA
CMHJGECF_00055;NA
CMHJGECF_00056;NA
CMHJGECF_00057;NA
CMHJGECF_00058;NA
CMHJGECF_00059;NA
CMHJGECF_00060;NA
CMHJGECF_00061;NA
CMHJGECF_00062;NA
CMHJGECF_00064;NA
CMHJGECF_00065;NA
CMHJGECF_00066;NA
CMHJGECF_00067;NA
CMHJGECF_00068;NA
CMHJGECF_00069;NA
CMHJGECF_00070;NA
CMHJGECF_00071;NA
CMHJGECF_00072;NA
CMHJGECF_00073;NA
CMHJGECF_00074;NA
CMHJGECF_00075;NA
CMHJGECF_00076;NA
CMHJGECF_00077;NA
CMHJGECF_00078;NA
CMHJGECF_00079;NA
CMHJGECF_00080;NA
CMHJGECF_00081;NA
CMHJGECF_00082;NA
CMHJGECF_00083;NA
CMHJGECF_00084;NA
CMHJGECF_00085;NA
CMHJGECF_00086;NA
CMHJGECF_00087;NA
CMHJGECF_00088;NA
CMHJGECF_00089;NA
CMHJGECF_00090;NA
CMHJGECF_00091;TCA cycle
CMHJGECF_00092;NA
CMHJGECF_00093;NA
CMHJGECF_00094;NA
CMHJGECF_00095;NA
CMHJGECF_00096;NA
CMHJGECF_00097;NA
CMHJGECF_00098;NA
CMHJGECF_00099;NA
CMHJGECF_00101;NA
CMHJGECF_00102;NA
CMHJGECF_00103;NA
CMHJGECF_00104;NA
CMHJGECF_00105;NA
CMHJGECF_00106;NA
CMHJGECF_00107;NA
CMHJGECF_00108;NA
CMHJGECF_00109;NA
CMHJGECF_00110;NA
CMHJGECF_00111;NA
CMHJGECF_00112;NA
CMHJGECF_00113;NA
CMHJGECF_00114;TCA cycle
CMHJGECF_00115;TCA cycle
CMHJGECF_00116;NA
CMHJGECF_00117;NA
CMHJGECF_00118;NA
CMHJGECF_00119;NA
CMHJGECF_00120;NA
CMHJGECF_00121;NA
CMHJGECF_00122;NA
CMHJGECF_00123;NA
CMHJGECF_00124;NA
CMHJGECF_00125;NA
CMHJGECF_00126;NA
CMHJGECF_00127;NA
CMHJGECF_00128;NA
CMHJGECF_00129;NA
CMHJGECF_00130;NA
CMHJGECF_00131;NA
CMHJGECF_00132;NA
CMHJGECF_00133;NA
CMHJGECF_00134;NA
CMHJGECF_00135;NA
CMHJGECF_00136;NA
CMHJGECF_00137;NA
CMHJGECF_00138;NA
CMHJGECF_00139;NA
CMHJGECF_00140;NA
CMHJGECF_00141;NA
CMHJGECF_00142;NA
CMHJGECF_00143;NA
CMHJGECF_00144;NA
CMHJGECF_00145;NA
CMHJGECF_00146;NA
CMHJGECF_00147;NA
CMHJGECF_00148;NA
CMHJGECF_00149;NA
CMHJGECF_00150;NA
CMHJGECF_00151;NA
CMHJGECF_00152;NA
CMHJGECF_00153;NA
CMHJGECF_00154;NA
CMHJGECF_00155;NA
CMHJGECF_00156;NA
CMHJGECF_00157;NA
CMHJGECF_00158;NA
CMHJGECF_00159;NA
CMHJGECF_00160;NA
CMHJGECF_00161;NA
CMHJGECF_00162;NA
CMHJGECF_00163;Polysaccharide
CMHJGECF_00164;NA
CMHJGECF_00165;NA
CMHJGECF_00166;NA
CMHJGECF_00167;NA
CMHJGECF_00168;NA
CMHJGECF_00169;NA
CMHJGECF_00170;NA
CMHJGECF_00171;NA
CMHJGECF_00172;NA
CMHJGECF_00173;NA
CMHJGECF_00174;NA
CMHJGECF_00175;NA
CMHJGECF_00177;NA
CMHJGECF_00178;NA
CMHJGECF_00179;NA
CMHJGECF_00180;NA
CMHJGECF_00181;NA
CMHJGECF_00182;NA
CMHJGECF_00183;NA
CMHJGECF_00184;NA
CMHJGECF_00185;NA
CMHJGECF_00186;NA
CMHJGECF_00187;NA
CMHJGECF_00188;NA
CMHJGECF_00189;NA
CMHJGECF_00190;NA
CMHJGECF_00191;NA
CMHJGECF_00192;NA
CMHJGECF_00193;NA
CMHJGECF_00194;NA
CMHJGECF_00195;NA
CMHJGECF_00196;NA
CMHJGECF_00197;NA
CMHJGECF_00198;NA
CMHJGECF_00199;NA
CMHJGECF_00200;NA
CMHJGECF_00201;NA
CMHJGECF_00202;NA
CMHJGECF_00203;NA
CMHJGECF_00204;NA
CMHJGECF_00205;NA
CMHJGECF_00206;NA
CMHJGECF_00207;NA
CMHJGECF_00208;NA
CMHJGECF_00209;NA
CMHJGECF_00210;NA
